,company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value
2438,WAVEDENT LTD,07826361,active,ltd,,2011-10-27,['86230'],,17 Hawes Street,Ipswich,IP2 8RL,,Suffolk,England,86230,,,,True
2634,SDL REALISATIONS 2020 LIMITED,07827872,liquidation,ltd,,2011-10-28,['86230'],,C/O Teneo Financial Advisory Limited 156 Great Charles Street,Birmingham,B3 3HN,Queensway,West Midlands,,86230,,,,True
4962,BALTIC DENTAL PRACTICE LTD,07855575,dissolved,ltd,2016-01-26,2011-11-21,['86230'],,169 Cross Road,Romford,RM7 8EA,Mawneys,,,86230,,,,True
370,AONA MEDIC CUBE LIMITED,07806738,dissolved,ltd,2015-05-26,2011-10-12,['86210'],,39 Grove Road,Barnet,EN4 9DJ,Cockfosters,,England,86210,,,,True
406,USHODAYA MEDICAL SERVICES LIMITED,07807516,dissolved,ltd,2020-11-17,2011-10-12,['86210'],,19 Stapleton Close,Sutton Coldfield,B76 1XT,Minworth,West Midlands,United Kingdom,86210,,,,True
541,'ETERNITY'S SUNRISE LTD,07807066,dissolved,ltd,2016-01-26,2011-10-12,['86210'],,Wylam Lodge,Knaresborough,HG5 9DE,Lands Lane,,,86210,,,,True
804,KBO CONSULTANCY LIMITED,07809069,dissolved,ltd,2018-03-27,2011-10-13,"['86210', ' 86900']",,118-120 London Road,Mitcham,CR4 3LB,,Surrey,,86210, 86900,,,True
884,LOPEZ MEDICAL SERVICES LIMITED,07810569,dissolved,ltd,2017-10-03,2011-10-14,['86210'],,123 Galingale View,Newcastle Under Lyme,ST5 2GQ,Off Keele Road,North Staffordshire,,86210,,,,True
1325,SWIECH MEDICAL SERVICES LIMITED,07812813,dissolved,ltd,2016-02-16,2011-10-17,['86210'],,3 Carrera House,Aylesbury,HP19 8DP,Merlin Centre Gatehouse Close,Buckinghamshire,,86210,,,,True
1448,BALEPHETRISH LIMITED,07814735,dissolved,ltd,2014-09-30,2011-10-18,['86210'],,Unit 9 Newhaven Enterprise Centre,Newhaven,BN9 9BA,Denton Island,East Sussex,England,86210,,,,True
1525,ASK A GP LIMITED,07814901,dissolved,ltd,2016-02-02,2011-10-19,['86210'],,3 Bilton Hall,Rugby,CV22 7LX,Church Walk Bilton,,,86210,,,,True
1737,PT ANTHONY LTD,07817962,dissolved,ltd,2018-03-27,2011-10-20,['86210'],,Pegasus House 5 Winckley Court,Preston,PR1 8BU,Mount Street,Lancashire,,86210,,,,True
1877,TYMPANOMED LIMITED,07816770,dissolved,ltd,2016-01-12,2011-10-20,['86210'],,6d Ocean House,Barnet,EN5 5FP,Bentley Way New Barnet,Hertfordshire,,86210,,,,True
1905,S P MEHTA LIMITED,07816729,dissolved,ltd,2019-05-28,2011-10-20,['86210'],,56 Redhouse Road,Wolverhampton,WV6 8SP,,,,86210,,,,True
2044,AQUAVILLE LIMITED,07817744,dissolved,ltd,2015-02-17,2011-10-20,['86210'],,Global House,London,E1 7HW,5a Sandys Row,,,86210,,,,True
2316,SAFFAR LOCUM LTD,07825497,dissolved,ltd,2017-01-10,2011-10-27,['86210'],,10 Claypit Road,Chester,CH4 7QX,,,Great Britain,86210,,,,True
2327,KHAN 85 LTD,07824827,dissolved,ltd,2016-02-16,2011-10-26,['86210'],,76 Bolton Road,Harrow,HA1 4SA,,Middlesex,,86210,,,,True
2863,PARK VIEW CENTRE LIMITED,07830630,dissolved,ltd,2016-01-19,2011-11-01,['86210'],,Park View Centre,Nottingham,NG10 3RJ,"Cranfleet Way, Long Eaton",,,86210,,,,True
2943,COX MEDICOLEGAL LTD,07830981,dissolved,ltd,2020-04-07,2011-11-01,['86210'],,21 Gilbert Road,Cambridge,CB4 3NX,,Cambridgeshire,,86210,,,,True
3183,DR SONIA CHESTER LTD,07832541,dissolved,ltd,2016-02-23,2011-11-02,['86210'],,2a Tremadoc Road,London,SW4 7NE,Clapham,,,86210,,,,True
3541,NISHITH KUMAR MEDICAL SERVICES LTD,07839345,dissolved,ltd,2017-03-28,2011-11-08,['86210'],,16 Darwin Avenue,Dartford,DA1 5RR,,,England,86210,,,,True
3628,JAMES CLARKE ASSOCIATES LTD,07841803,dissolved,ltd,2017-06-06,2011-11-10,['86210'],,7 Lindum Terrace,Lincoln,LN2 5RP,,Lincolnshire,,86210,,,,True
4143,HELLAGOOD LTD,07852908,dissolved,ltd,2014-10-14,2011-11-18,['86210'],,573 Chester Road,Sutton Coldfield,B73 5HU,573 Chester Road,West Midlands,,86210,,,,True
4334,D J MURPHY LIMITED,07850443,dissolved,ltd,2021-05-04,2011-11-16,['86210'],,29 Glendarvon Street,London,SW15 1JS,Putney,,,86210,,,,True
4361,FSQ LIMITED,07852809,dissolved,ltd,2017-11-07,2011-11-18,['86210'],,16 Beaumont Road,Leicester,LE5 3HA,,,England,86210,,,,True
3232,THE ORIGINAL TRUFFLES LTD,07833180,dissolved,ltd,2015-06-16,2011-11-03,['46310'],,11 Primary Court,Cambridge,CB4 1NB,,,,46310,,,,True
4492,WATERMELON DISTRIBUTION CENTRE LIMITED,07850830,dissolved,ltd,2017-05-23,2011-11-17,['46310'],,Unit 3 33 Shaftesbury Road,London,N18 1SW,,,,46310,,,,True
63,ASHTON RAINS LTD,07804358,dissolved,ltd,2017-12-05,2011-10-10,['68310'],,372 Palatine Road,Manchester,M22 4FZ,,,England,68310,,,,True
284,D M S CONSULTANTS LTD,07806452,dissolved,ltd,2017-12-05,2011-10-12,['68310'],,83 High Street,Chesham,HP5 1DE,,Buckinghamshire,,68310,,,,True
319,SCOTT & SCOTT INVESTMENT PROPERTIES LIMITED,07804914,dissolved,ltd,2016-11-01,2011-10-11,['68310'],,Flat 3 Warren Road,Crowborough,TN6 1TT,Warren Wood,East Sussex,,68310,,,,True
476,CLARKE RESIDENTIAL LIMITED,07807436,dissolved,ltd,2020-02-04,2011-10-12,['68310'],,"Delamere, Clock House High Road",Stowmarket,IP14 3AP,Great Finborough,Suffolk,United Kingdom,68310,,,,True
536,SPEED PROPERTY SERVICES LTD,07806919,dissolved,ltd,2017-08-29,2011-10-12,['68310'],,15 Miles Close,London,SE28 0NJ,,,,68310,,,,True
669,AKELA REAL ESTATE LTD,07809110,dissolved,ltd,2021-08-17,2011-10-13,['68310'],,12 Bridewell Place,London,EC4V 6AP,Third Floor East,,,68310,,,,True
832,JACKSON ESTATES LIMITED,07810181,dissolved,ltd,2020-11-17,2011-10-14,['68310'],,8 Fountain Court,Winsford,CW7 1AJ,,Cheshire,,68310,,,,True
893,RUSSELL AND DURRANT LIMITED,07811843,dissolved,ltd,2020-10-13,2011-10-17,['68310'],,Riley Accounting Gable End Sparrow Hall Business Park Leighton Road,Dunstable,LU6 2ES,Edlesborough,Bedfordshire,,68310,,,,True
1263,HOUNSLOW WEST LONDON LIMITED,07813463,dissolved,ltd,2020-07-29,2011-10-18,['68310'],,,Eastleigh,SO53 3TZ,Highfield Court Tollgate Chandlers Ford,,,68310,,,,True
1281,REDBOX RESIDENTIAL LTD,07811472,liquidation,ltd,,2011-10-17,['68310'],,Dlp House,Halifax,HX1 2QW,46 Prescott Street,West Yorkshire,,68310,,,,True
1302,PARRY COHEN LIMITED,07813029,active,ltd,,2011-10-17,['68310'],,146 New London Road,Chelmsford,CM2 0AW,,,England,68310,,,,True
1729,MS AND LS PROPERTY SERVICES LIMITED,07817607,dissolved,ltd,2020-11-17,2011-10-20,['68310'],,4b Church Street,Diss,IP22 4DD,,,England,68310,,,,True
1886,ELITE PROPERTY ESTATES LTD,07818967,dissolved,ltd,2015-02-17,2011-10-21,['68310'],,258 St Helens Road,Bolton,BL3 3PZ,,Lancashire,,68310,,,,True
2004,CRE PROPERTY DEVELOPMENT LTD,07818114,dissolved,ltd,2017-03-28,2011-10-20,['68310'],,Suite 38 Thames Innovation Centre,Erith,DA18 4AL,2 Veridion Way,Kent,,68310,,,,True
2138,GEOFFREY RAYNARD LIMITED,07822741,dissolved,ltd,2015-06-02,2011-10-25,['68310'],,187 Angel Place,London,N18 2UD,Fore Street,,United Kingdom,68310,,,,True
2331,ROUNCE & EVANS ESTATE AGENTS LIMITED,07825049,dissolved,ltd,2017-06-06,2011-10-27,['68310'],,3 Jubilee Court,King's Lynn,PE31 6HH,Hunstanton Road Dersingham,Norfolk,,68310,,,,True
